Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 14/15,Ath Bilbao,Villarreal,4,0,H,17,13,8,2,13,7,4,5,0,1,0,0,Ath Bilbao,Villarreal
Сезон 14/15,Celta,Espanol,3,2,H,10,17,7,3,11,14,2,2,2,1,1,0,Celta,Espanol
Сезон 14/15,Granada,Ath Madrid,0,0,D,2,3,0,1,9,11,4,0,0,0,0,0,Ничья,Ничья
Сезон 14/15,Real Madrid,Getafe,7,3,H,18,14,11,6,12,13,8,7,2,3,0,0,Real Madrid,Getafe
Сезон 15/16,Espanol,Getafe,1,0,H,4,14,2,3,19,14,5,6,2,3,0,1,Espanol,Getafe
Сезон 15/16,Ath Bilbao,Barcelona,0,1,A,8,10,2,4,16,11,2,4,3,3,0,0,Barcelona,Ath Bilbao
Сезон 15/16,Betis,Villarreal,1,1,D,22,8,6,4,11,26,7,5,3,1,0,1,Ничья,Ничья
Сезон 15/16,Levante,Celta,1,2,A,11,15,2,6,12,17,4,6,1,3,1,0,Celta,Levante
Сезон 15/16,Granada,Eibar,1,3,A,12,10,6,4,5,23,6,5,1,6,1,0,Eibar,Granada
Сезон 15/16,Villarreal,Espanol,3,1,H,14,4,4,2,10,20,2,3,1,6,0,0,Villarreal,Espanol
Сезон 15/16,Real Madrid,Betis,5,0,H,21,7,11,1,12,14,11,4,3,3,0,0,Real Madrid,Betis
Сезон 15/16,Eibar,Ath Bilbao,2,0,H,9,9,8,1,14,13,11,4,2,2,0,0,Eibar,Ath Bilbao
Сезон 15/16,Getafe,Granada,1,2,A,16,9,4,4,16,15,6,6,5,3,0,0,Granada,Getafe
Сезон 15/16,Sevilla,Ath Madrid,0,3,A,25,17,7,7,17,13,11,1,3,4,0,0,Ath Madrid,Sevilla
Сезон 15/16,Levante,Sevilla,1,1,D,14,8,4,3,12,8,5,4,3,3,0,0,Ничья,Ничья
Сезон 15/16,Ath Madrid,Barcelona,1,2,A,11,13,3,5,17,5,1,10,3,1,0,0,Barcelona,Ath Madrid
Сезон 15/16,Betis,Sociedad,1,0,H,9,15,2,3,12,9,2,4,4,3,1,0,Betis,Sociedad
Сезон 15/16,Espanol,Real Madrid,0,6,A,14,15,3,8,19,10,5,6,2,2,0,0,Real Madrid,Espanol
Сезон 15/16,Ath Bilbao,Getafe,3,1,H,14,11,6,3,12,15,12,5,1,4,0,0,Ath Bilbao,Getafe
Сезон 15/16,Granada,Villarreal,1,3,A,13,8,2,5,16,21,8,6,2,4,0,0,Villarreal,Granada
Сезон 15/16,Eibar,Ath Madrid,0,2,A,9,14,3,6,13,7,1,4,2,1,0,0,Ath Madrid,Eibar
Сезон 15/16,Real Madrid,Granada,1,0,H,20,12,10,3,9,15,10,1,1,3,0,0,Real Madrid,Granada
Сезон 15/16,Sociedad,Espanol,2,3,A,10,18,3,6,15,16,7,6,2,3,1,0,Espanol,Sociedad
Сезон 15/16,Valencia,Betis,0,0,D,22,3,5,1,17,15,7,1,4,2,0,1,Ничья,Ничья
Сезон 15/16,Barcelona,Levante,4,1,H,21,11,8,4,8,16,4,4,0,1,0,0,Barcelona,Levante
Сезон 15/16,Sevilla,Celta,1,2,A,13,15,5,5,16,16,5,5,3,5,0,1,Celta,Sevilla
Сезон 15/16,Villarreal,Ath Bilbao,3,1,H,14,11,7,2,17,6,9,4,4,4,0,0,Villarreal,Ath Bilbao
Сезон 15/16,Ath Madrid,Getafe,2,0,H,12,6,3,2,14,10,6,1,3,2,0,0,Ath Madrid,Getafe
Сезон 15/16,Espanol,Valencia,1,0,H,17,10,5,4,22,14,7,6,5,7,0,0,Espanol,Valencia
Сезон 15/16,Granada,Sociedad,0,3,A,11,8,1,5,20,18,4,3,5,4,0,0,Sociedad,Granada
Сезон 15/16,Ath Bilbao,Real Madrid,1,2,A,11,22,5,6,17,10,6,8,4,3,0,0,Real Madrid,Ath Bilbao
Сезон 15/16,Celta,Barcelona,4,1,H,18,18,5,7,19,4,5,10,2,2,0,0,Celta,Barcelona
Сезон 15/16,Levante,Eibar,2,2,D,12,10,2,4,13,23,4,7,2,5,0,0,Ничья,Ничья
Сезон 15/16,Valencia,Granada,1,0,H,12,18,5,3,19,20,11,3,3,3,0,0,Valencia,Granada
Сезон 15/16,Eibar,Celta,1,1,D,10,9,3,2,25,16,4,4,5,4,0,0,Ничья,Ничья
Сезон 15/16,Villarreal,Ath Madrid,1,0,H,5,9,2,4,11,15,1,5,2,2,0,0,Villarreal,Ath Madrid
Сезон 15/16,Getafe,Levante,3,0,H,15,10,8,3,11,10,4,4,2,3,0,0,Getafe,Levante
